age,dob,age_cat,Age Category
18,1998,25,
18,1997,25,
18,1997,25,
19,1997,25,
19,1997,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
19,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1996,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
20,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1995,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
21,1994,25,
